0x001d	KEYCODE_A
0x001e	KEYCODE_B
0x001f	KEYCODE_C
0x0020	KEYCODE_D
0x0021	KEYCODE_E
0x0022	KEYCODE_F
0x0023	KEYCODE_G
0x0024	KEYCODE_H
0x0025	KEYCODE_I
0x0026	KEYCODE_J
0x0027	KEYCODE_K
0x0028	KEYCODE_L
0x0029	KEYCODE_M
0x002a	KEYCODE_N
0x002b	KEYCODE_O
0x002c	KEYCODE_P
0x002d	KEYCODE_Q
0x002e	KEYCODE_R
0x002f	KEYCODE_S
0x0030	KEYCODE_T
0x0031	KEYCODE_U
0x0032	KEYCODE_V
0x0033	KEYCODE_W
0x0034	KEYCODE_X
0x0035	KEYCODE_Y
0x0036	KEYCODE_Z
0x0008	KEYCODE_1
0x0009	KEYCODE_2
0x000a	KEYCODE_3
0x000b	KEYCODE_4
0x000c	KEYCODE_5
0x000d	KEYCODE_6
0x000e	KEYCODE_7
0x000f	KEYCODE_8
0x0010	KEYCODE_9
0x0007	KEYCODE_0
0x0042	KEYCODE_ENTER
0x006f	KEYCODE_ESCAPE
0x0004	KEYCODE_BACK
0x0043	KEYCODE_DEL
0x003d	KEYCODE_TAB
0x003e	KEYCODE_SPACE
0x0045	KEYCODE_MINUS
0x0046	KEYCODE_EQUALS
0x0047	KEYCODE_LEFT_BRACKET
0x0048	KEYCODE_RIGHT_BRACKET
0x0049	KEYCODE_BACKSLASH
0x0049	KEYCODE_BACKSLASH
0x004a	KEYCODE_SEMICOLON
0x004b	KEYCODE_APOSTROPHE
0x0044	KEYCODE_GRAVE
0x0037	KEYCODE_COMMA
0x0038	KEYCODE_PERIOD
0x004c	KEYCODE_SLASH
0x0073	KEYCODE_CAPS_LOCK
0x0083	KEYCODE_F1
0x0052	KEYCODE_MENU
0x0084	KEYCODE_F2
0x0002	KEYCODE_SOFT_RIGHT
0x0085	KEYCODE_F3
0x0005	KEYCODE_CALL
0x0086	KEYCODE_F4
0x0006	KEYCODE_ENDCALL
0x0087	KEYCODE_F5
0x0088	KEYCODE_F6
0x0089	KEYCODE_F7
0x008a	KEYCODE_F8
0x008b	KEYCODE_F9
0x008c	KEYCODE_F10
0x0052	KEYCODE_MENU
0x008d	KEYCODE_F11
0x008e	KEYCODE_F12
0x0078	KEYCODE_SYSRQ
0x0074	KEYCODE_SCROLL_LOCK
0x0079	KEYCODE_BREAK
0x007c	KEYCODE_INSERT
0x007a	KEYCODE_MOVE_HOME
0x0003	KEYCODE_HOME
0x005c	KEYCODE_PAGE_UP
0x0070	KEYCODE_FORWARD_DEL
0x007b	KEYCODE_MOVE_END
0x0006	KEYCODE_ENDCALL
0x005d	KEYCODE_PAGE_DOWN
0x0016	KEYCODE_DPAD_RIGHT
0x0015	KEYCODE_DPAD_LEFT
0x0014	KEYCODE_DPAD_DOWN
0x0013	KEYCODE_DPAD_UP
0x008f	KEYCODE_NUM_LOCK
0x009a	KEYCODE_NUMPAD_DIVIDE
0x009b	KEYCODE_NUMPAD_MULTIPLY
0x009c	KEYCODE_NUMPAD_SUBTRACT
0x009d	KEYCODE_NUMPAD_ADD
0x00a0	KEYCODE_NUMPAD_ENTER
0x0091	KEYCODE_NUMPAD_1
0x0092	KEYCODE_NUMPAD_2
0x0093	KEYCODE_NUMPAD_3
0x0094	KEYCODE_NUMPAD_4
0x0095	KEYCODE_NUMPAD_5
0x0096	KEYCODE_NUMPAD_6
0x0097	KEYCODE_NUMPAD_7
0x0098	KEYCODE_NUMPAD_8
0x0099	KEYCODE_NUMPAD_9
0x0090	KEYCODE_NUMPAD_0
0x009e	KEYCODE_NUMPAD_DOT
0x0049	KEYCODE_BACKSLASH
0x0052	KEYCODE_MENU
0x0054	KEYCODE_SEARCH
0x001a	KEYCODE_POWER
0x00a1	KEYCODE_NUMPAD_EQUALS
0x0056	KEYCODE_MEDIA_STOP
0x00a4	KEYCODE_VOLUME_MUTE
0x0018	KEYCODE_VOLUME_UP
0x0019	KEYCODE_VOLUME_DOWN
0x009f	KEYCODE_NUMPAD_COMMA
0x00a2	KEYCODE_NUMPAD_LEFT_PAREN
0x00a3	KEYCODE_NUMPAD_RIGHT_PAREN
0x0071	KEYCODE_CTRL_LEFT
0x003b	KEYCODE_SHIFT_LEFT
0x0039	KEYCODE_ALT_LEFT
0x0075	KEYCODE_META_LEFT
0x0072	KEYCODE_CTRL_RIGHT
0x003c	KEYCODE_SHIFT_RIGHT
0x003a	KEYCODE_ALT_RIGHT
0x0076	KEYCODE_META_RIGHT
0x0055	KEYCODE_MEDIA_PLAY_PAUSE
0x0056	KEYCODE_MEDIA_STOP
0x0058	KEYCODE_MEDIA_PREVIOUS
0x0057	KEYCODE_MEDIA_NEXT
0x0081	KEYCODE_MEDIA_EJECT
0x0018	KEYCODE_VOLUME_UP
0x0019	KEYCODE_VOLUME_DOWN
0x00a4	KEYCODE_VOLUME_MUTE
0x0040	KEYCODE_EXPLORER
0x0004	KEYCODE_BACK
0x007d	KEYCODE_FORWARD
0x0056	KEYCODE_MEDIA_STOP
0x005c	KEYCODE_PAGE_UP
0x005d	KEYCODE_PAGE_DOWN
0x001a	KEYCODE_POWER
0x00d2	KEYCODE_CALCULATOR
